,model,graph,n,p,pr,eps,gam,max_it,avg_ncluster_01,std_ncluster_01,avg_ncluster_001,std_ncluster_001,avg_ncluster_00001,std_ncluster_00001,avg_mean_opinion,avg_std_opinions,avg_median_opinion,10B_avg_entr,10B_std_entr,10B_avg_norm_entr,avg_nit,std_nit
65,triangles rewiring,er,250,0.1,0.4,0.3,0.0,100000,1.0,0.0,1.0,0.0,1.282055873125094,0.3406617746796448,0.5124937083557829,1.7111102499541814e-06,0.5124937143954431,0.0,0.0,0.0,15.8,0.7483314773547882
66,triangles rewiring,er,250,0.1,0.4,0.3,0.4,100000,1.0,0.0,1.0,0.0,1.2134229468218949,0.38649630558034026,0.4517304623444101,1.0980852391862264e-06,0.4517303976934538,0.0,0.0,0.0,25.2,3.7094473981982814
67,triangles rewiring,er,250,0.1,0.4,0.3,0.8,100000,1.381222843694113,0.4670481253686178,1.381222843694113,0.4670481253686178,1.5065817118690128,0.3966856231080832,0.4774796065912022,0.08211596225908982,0.4876544362932643,0.2724104288452561,0.333647690289248,0.11865522758440787,40018.8,48973.62830912163
68,triangles rewiring,er,250,0.1,0.4,0.3,1.2,100000,1.3572650779002782,0.4425494309765685,1.3572650779002782,0.4425494309765685,1.5624657927415562,0.4524726212299737,0.5434751613597919,0.08587415250827335,0.5366507663703869,0.26507766074867645,0.3252042947558744,0.11546125563916493,40029.4,48964.976011839324
69,triangles rewiring,er,250,0.1,0.4,0.3,1.6,100000,1.1993610223642173,0.3987220447284345,1.1993610223642173,0.3987220447284345,1.2172360345956617,0.3900034824263048,0.5492174839891055,0.04763083931533617,0.5034561761688654,0.1384693934179923,0.2769387868359846,0.06031383401558382,20043.2,39977.903413760956
70,triangles rewiring,er,250,0.1,0.4,0.4,0.0,100000,1.0,0.0,1.0,0.0,1.1757877687776908,0.3153572643567508,0.4675743642058802,1.320915915623583e-06,0.4675742808792268,0.0,0.0,0.0,16.4,1.0198039027185568
71,triangles rewiring,er,250,0.1,0.4,0.4,0.4,100000,1.0,0.0,1.0,0.0,1.0081292164343374,0.012631473639037879,0.5114734527553033,8.829134611714245e-07,0.5114734516523306,0.0,0.0,0.0,29.4,14.840485167271318
72,triangles rewiring,er,250,0.1,0.4,0.4,0.8,100000,1.0,0.0,1.0,0.0,1.0643991384112073,0.09433099018974088,0.4980314783577187,1.1391101264327586e-06,0.4980315420459299,0.0,0.0,0.0,28.4,1.3564659966250538
73,triangles rewiring,er,250,0.1,0.4,0.4,1.2,100000,1.0,0.0,1.0,0.0,1.0032255966703518,0.006451193340703654,0.5108392140309193,5.416982785743742e-07,0.5108392722939936,0.0,0.0,0.0,5834.8,11561.135954567788
74,triangles rewiring,er,250,0.1,0.4,0.4,1.6,100000,1.0,0.0,1.0,0.0,1.0148151055314278,0.025802418218548485,0.4895309793671425,9.619364323445697e-07,0.4895310313657866,0.0,0.0,0.0,69.6,43.85247997548144
75,triangles rewiring,er,250,0.1,0.5,0.2,0.0,100000,1.0,0.0,1.0,0.0,1.0682479561358709,0.05839093149530166,0.3366155726244761,1.7027475983711937e-06,0.33661554654348297,0.0,0.0,0.0,15.8,1.4696938456699067
76,triangles rewiring,er,250,0.1,0.5,0.2,0.4,100000,1.0,0.0,1.0,0.0,1.0283979275783381,0.04241339159456137,0.4747429206417498,6.388585193840245e-07,0.4747428668627272,0.0,0.0,0.0,25.4,3.4985711369071804
77,triangles rewiring,er,250,0.1,0.5,0.2,0.8,100000,1.5433958088973998,0.44491099788739896,1.5433958088973998,0.44491099788739896,1.5433958088973998,0.44491099788739896,0.5604364600351459,0.15145427547695664,0.43794626807372,0.4007239140938442,0.3273177329996997,0.1745453998471168,85044.4,20574.428882474476
78,triangles rewiring,er,250,0.1,0.5,0.2,1.2,100000,1.591339379151088,0.4828904780353875,1.591339379151088,0.4828904780353875,1.591339379151088,0.4828904780353875,0.5684390106418038,0.12843861772524565,0.6868282488947354,0.4136954948902665,0.3377869013220664,0.1801954987734077,83405.8,33186.399999999994
79,triangles rewiring,er,250,0.1,0.5,0.2,1.6,100000,1.584500700366975,0.4778866477585373,1.584500700366975,0.4778866477585373,1.584500700366975,0.4778866477585373,0.4998424883126102,0.14765551832099302,0.6341047733001617,0.4118588329789614,0.3363437602941226,0.1793954943902961,68196.8,39563.07581773693
80,triangles rewiring,er,250,0.1,0.5,0.3,0.0,100000,1.0,0.0,1.0,0.0,1.0048319964639068,0.006448005975135568,0.4715741827916981,9.506084732513172e-07,0.4715741330061157,0.0,0.0,0.0,16.6,1.019803902718557
81,triangles rewiring,er,250,0.1,0.5,0.3,0.4,100000,1.0,0.0,1.0,0.0,1.1167851121540076,0.1940026663942924,0.5280320937752857,8.235109587719655e-07,0.528032102210396,0.0,0.0,0.0,21.2,1.469693845669907
82,triangles rewiring,er,250,0.1,0.5,0.3,0.8,100000,1.3781674279375935,0.4633741091186561,1.3781674279375935,0.4633741091186561,1.3781674279375935,0.4633741091186561,0.502025701585734,0.09254022029978876,0.5802838843018552,0.2715888660092619,0.33264843186903004,0.1182973751861241,40164.6,48854.924949691616
83,triangles rewiring,er,250,0.1,0.5,0.3,1.2,100000,1.396347263618492,0.4854586349777719,1.396347263618492,0.4854586349777719,1.5185480567775649,0.4412444466864225,0.5586774764536278,0.09227814319396983,0.5161869750520475,0.2763358514020803,0.3384440634340674,0.12036504430772252,49332.0,44721.04425435524
84,triangles rewiring,er,250,0.1,0.5,0.3,1.6,100000,1.0,0.0,1.0,0.0,1.0080575931342586,0.0072126647755363935,0.5078693821416744,8.822409170737734e-07,0.5078692659633709,0.0,0.0,0.0,68.0,21.881499034572563
85,triangles rewiring,er,250,0.1,0.5,0.4,0.0,100000,1.0,0.0,1.0,0.0,1.138121800858648,0.22023555235895625,0.4903505209602897,1.2989926587769236e-06,0.4903506148458483,0.0,0.0,0.0,15.6,0.7999999999999999
86,triangles rewiring,er,250,0.1,0.5,0.4,0.4,100000,1.0,0.0,1.0,0.0,1.161740339116896,0.2031282561064449,0.4826574892316901,1.019392240248148e-06,0.4826575362876427,0.0,0.0,0.0,21.0,1.7888543819998317
87,triangles rewiring,er,250,0.1,0.5,0.4,0.8,100000,1.0,0.0,1.0,0.0,1.024814130355603,0.03168459300879204,0.5010669452086622,1.1654272332901036e-06,0.5010668160908145,0.0,0.0,0.0,41.0,20.92844953645635
88,triangles rewiring,er,250,0.1,0.5,0.4,1.2,100000,1.0,0.0,1.0,0.0,1.3490689426248814,0.4260024264278347,0.5436121270066104,8.74461013730942e-07,0.5436122315781191,0.0,0.0,0.0,15200.6,30260.22538977527
89,triangles rewiring,er,250,0.1,0.5,0.4,1.6,100000,1.0,0.0,1.0,0.0,1.038240451322711,0.07648090264542197,0.5035804580374998,7.002539388265461e-07,0.503580426640043,0.0,0.0,0.0,82.0,21.587033144922902
90,triangles rewiring,ba,250,5.0,0.0,0.2,0.0,100000,1.2241737111660296,0.02610283242915507,1.22709459612307,0.026154127082672743,1.2277142629942266,0.026236723621456137,0.3778000560892714,0.14046203194390955,0.35343561435370857,0.4631185429535998,0.05321469636028578,0.20172295291944992,143.2,54.167887165736865
91,triangles rewiring,ba,250,5.0,0.0,0.2,0.4,100000,1.3563080844458664,0.06670264281583407,1.36760113051029,0.07392818626938727,1.3708246337254468,0.07514913311539116,0.4812163665814914,0.14766796884785166,0.4740790632396136,0.6072509703731928,0.07941312950365449,0.2645034641144888,464.2,356.92094362757695
92,triangles rewiring,ba,250,5.0,0.0,0.2,0.8,100000,1.2412224469175197,0.04679850401621805,1.2447794932292546,0.048311373433013186,1.2465291074023417,0.04903656642390662,0.4867612632604142,0.13909185818700182,0.4786371918577929,0.40853760770798814,0.0407788156873346,0.1779488510218431,37176.0,18431.465736614653
