,model,graph,n,p,pr,eps,gam,max_it,avg_nit,std_nit,avg_ncluster_01,std_ncluster_01,avg_ncluster_001,std_ncluster_001,avg_ncluster_00001,std_ncluster_00001,avg_mean_opinion,avg_std_opinions,avg_median_opinion,10B_avg_entr,10B_std_entr,10B_avg_norm_entr
72,rewiring,er,250,0.1,0.4,0.4,0.8,100000,8988.2,2421.513361515893,1.0478737521428456,0.009963221005659512,1.0514554287218805,0.011374501895779238,1.06177762699523,0.010395896483783616,0.5035462557816288,0.060404372398162716,0.5025791949579874,0.1360261447610897,0.03932587283184704,0.0592496154881986
73,rewiring,er,250,0.1,0.4,0.4,1.2,100000,87688.8,11386.458420422041,1.0830471617975224,0.02453311648025822,1.1031163359821552,0.013052318528788236,1.2567259816466505,0.2980507861154062,0.5035138017552908,0.06026396427992646,0.5051192379448108,0.2594793226295465,0.036532925368004975,0.11302275838178873
74,rewiring,er,250,0.1,0.4,0.4,1.6,100000,61689.6,29213.16036720437,9.269340735392941,0.3516464364437672,48.52020594071685,3.599810771086001,119.27322124609468,16.13254269310318,0.4945284312943311,0.28315109196899874,0.4966737812847442,2.2748363926628192,0.017240008091788463,0.9908623213615295
75,rewiring,er,250,0.1,0.5,0.2,0.0,100000,493.4,98.11136529475063,1.9887282328563518,0.036309507933049635,1.9887282328563518,0.036309507933049635,1.9887282328563518,0.036309507933049635,0.4937327780090623,0.2291668584127661,0.4437524267832941,0.7029605899219572,0.025938902688997175,0.3061922009874329
76,rewiring,er,250,0.1,0.5,0.2,0.4,100000,20700.8,3235.8646077980457,2.178803680674454,0.3559939454220104,2.178803680674454,0.3559939454220104,2.178803680674454,0.3559939454220104,0.5107388333052436,0.23085832663297884,0.5221967256628032,0.8171270972325626,0.1599882337285252,0.3559203004764285
77,rewiring,er,250,0.1,0.5,0.2,0.8,100000,64937.2,27444.980760787574,2.373218878864348,0.5021833196338801,2.373218878864348,0.5021833196338801,2.373218878864348,0.5021833196338801,0.5160533999854013,0.23383770308054685,0.5479171169999589,0.908722924925776,0.1605124876432848,0.3958171716307052
78,rewiring,er,250,0.1,0.5,0.2,1.2,100000,99417.2,1163.6,2.5820487825419827,0.356832611813106,2.614587601216345,0.3611327046819686,3.7698902906477287,0.9599399758960752,0.5060395013244608,0.2468297348110061,0.4891404261939295,1.046630920862043,0.13540201831357535,0.4558864748247569
79,rewiring,er,250,0.1,0.5,0.2,1.6,100000,38033.2,32900.69262128078,9.364374536349935,0.3268229361571098,49.80771843251089,5.7123016237343975,140.70167121008905,34.32052492132657,0.5057298243320829,0.2796567250071786,0.5146027397086477,2.2843742062366372,0.003314399277230601,0.9950167564360468
80,rewiring,er,250,0.1,0.5,0.3,0.0,100000,190.6,208.07844674545223,1.172589109465104,0.3371720910667608,1.172589109465104,0.3371720910667608,1.4919487863104808,0.40064199373621817,0.4966667112084693,0.05219564754242794,0.5310720976132699,0.13953527668194302,0.2564091615970985,0.06077810633363934
81,rewiring,er,250,0.1,0.5,0.3,0.4,100000,5804.8,5187.839874167282,1.218768907000408,0.3847330593817809,1.218768907000408,0.3847330593817809,1.3799153302062326,0.4258926532424116,0.5008298389308152,0.0761006812083121,0.458228789425762,0.1926086837298918,0.2531025179835637,0.0838955663319552
